Source Port,Destination Port,Protocol,Packet Length,Packet Type,Traffic Type,Malware Indicators,Anomaly Scores,Attack Type,Attack Signature,Action Taken,Severity Level,User Information,Device Information,Network Segment,Firewall Logs,Log Source,Trimestre,Localidad,Region
17251,320,2,346,0,0,1,8545,2,1,0,1,24273,0,2,0,1,1,285,20
1000,20932,2,1361,1,0,0,7108,0,0,2,0,1947,0,0,1,1,0,99,6
18588,12594,2,54,1,2,0,9460,2,0,2,2,6545,0,0,1,0,2,67,4
18162,12160,1,1322,0,0,1,6639,0,0,0,2,3359,0,2,0,1,3,107,20
10325,14090,2,369,0,0,1,8829,1,0,2,1,7847,0,2,0,0,3,101,2
14729,6718,2,467,0,1,1,8577,2,0,0,0,22713,0,2,0,0,0,150,0
25709,14904,1,218,0,2,0,4372,0,0,2,1,2660,0,0,1,0,2,265,0
29212,19633,0,1423,0,2,1,4474,1,1,0,1,8938,53,2,0,0,1,275,12
8886,4908,2,499,0,0,1,2537,1,1,1,2,14143,0,2,0,0,1,72,23
28644,22535,1,1249,0,2,1,6811,0,1,2,1,28762,0,2,0,0,2,264,27
17829,27940,2,286,0,2,1,7582,0,0,1,2,16882,0,0,0,0,0,104,10
5509,21755,1,309,1,0,1,383,2,0,1,2,28865,157,1,0,1,3,212,24
4842,7140,0,1091,0,0,0,2558,2,0,0,1,13153,0,1,1,0,1,173,5
8327,3314,1,457,1,1,1,5959,0,1,1,0,31120,0,2,0,1,2,218,22
18928,6566,0,1282,1,1,0,6669,1,0,0,1,5238,0,0,1,1,2,135,25
15653,18295,2,1247,0,0,0,7396,0,1,0,2,3438,0,2,1,0,1,121,4
13092,2303,2,53,0,1,0,7426,2,1,2,1,8684,0,1,1,1,1,253,16
20932,6733,1,1207,0,2,0,4826,2,1,2,2,18780,39,2,1,0,3,186,6
1872,20,1,244,0,0,0,8384,1,0,0,2,19948,0,0,1,1,0,123,21
26494,24702,1,481,1,0,0,634,0,1,1,2,8074,0,0,1,0,0,55,13
12112,20883,2,508,0,0,1,2186,0,1,1,1,14192,0,1,0,1,1,81,25
3,18275,1,1410,0,2,0,2925,0,1,2,1,28677,0,0,1,0,3,0,24
25930,22005,2,1299,1,1,1,1059,1,0,0,0,9060,0,0,0,1,2,89,26
14922,1312,2,379,1,0,1,4148,2,1,1,0,31972,0,0,0,1,1,226,20
27148,20202,1,962,1,1,0,7648,0,1,2,1,24927,132,0,1,0,1,225,27
11249,2591,1,490,0,0,1,9610,2,1,0,0,3926,0,0,0,0,1,16,11
4410,10380,0,585,1,2,0,8196,1,0,0,0,9629,0,2,1,1,3,312,3
10752,26106,1,1314,0,0,1,4007,2,0,0,2,19500,0,2,0,0,2,101,4
26268,4403,0,43,1,2,1,131,0,1,1,0,11900,0,0,0,0,1,210,2
22252,8517,0,253,1,2,1,5601,0,0,1,1,17896,0,0,0,1,0,186,8
25655,10738,0,811,1,2,0,88,0,1,0,0,4002,0,1,1,1,1,298,17
14640,5398,2,512,1,0,1,7645,0,0,0,1,25135,53,1,0,0,1,271,7
10718,9545,1,555,1,1,1,6652,1,1,2,0,27010,166,1,0,1,0,298,3
21294,29162,1,1160,1,2,0,9022,2,0,2,2,29111,0,2,1,1,3,108,22
4836,14132,1,568,1,1,1,4934,2,0,2,1,8936,0,2,0,0,2,48,2
14005,1190,2,606,0,2,1,4089,1,1,0,1,20870,0,0,0,1,1,116,25
26821,12836,0,24,1,2,1,8964,0,1,0,0,3073,0,2,0,1,0,307,8
17334,4107,1,1433,0,2,0,8143,2,1,1,1,27846,0,2,1,1,0,44,27
16070,523,0,240,1,0,1,7759,1,0,1,0,23853,0,0,0,0,0,215,16
10013,1806,0,937,1,2,0,4990,0,0,1,1,32302,0,0,1,0,3,118,2
4370,1395,2,1288,1,2,0,7410,2,0,2,0,8975,0,1,1,1,2,175,18
26102,30,2,484,1,1,0,3261,0,1,0,1,15853,0,2,1,1,2,143,6
3076,8424,2,1050,1,0,0,716,1,0,2,0,4927,0,1,1,1,0,313,13
15402,14029,1,85,1,0,0,7544,0,1,1,1,13608,0,0,1,1,3,272,23
25285,1752,1,484,1,1,0,3569,1,1,2,2,27162,0,2,1,0,3,35,26
9356,10982,2,1042,0,2,0,1317,2,0,2,0,16410,0,2,1,0,0,221,7
17412,15197,2,1226,0,1,0,6793,1,1,1,1,14182,0,1,1,1,0,11,6
6984,13437,2,126,1,0,0,467,0,1,2,0,7357,0,0,1,0,0,289,1
1905,27844,0,931,0,0,1,5086,2,0,2,0,26718,119,2,0,0,2,29,25
6558,26604,1,1278,0,2,1,8245,1,0,0,0,24523,0,1,0,0,3,294,15
8335,10965,0,658,1,2,1,7833,2,0,1,2,8422,0,2,0,0,0,72,22
20139,24538,0,1117,0,0,0,1473,2,1,0,1,30770,0,0,1,1,1,120,21
4758,16501,1,843,0,0,1,1192,2,1,2,2,31797,0,1,0,0,1,308,23
28420,12506,0,1363,1,2,0,329,1,0,1,0,16511,0,1,1,1,2,125,20
7006,6405,2,729,0,2,0,1867,1,0,0,1,14145,0,1,1,1,0,27,9
24505,4327,0,622,0,0,0,9514,0,0,1,1,11682,0,1,1,1,0,102,0
18210,4036,2,1028,1,0,1,8138,1,0,2,1,15875,0,2,0,0,2,250,26
24982,24103,2,428,1,2,0,8667,1,1,2,0,13399,64,0,1,1,3,283,21
14283,8020,2,747,1,1,0,4465,2,1,0,2,29187,0,2,1,1,1,35,0
6117,6392,0,1380,0,2,0,8951,1,0,2,1,23425,0,0,1,0,1,170,8
3135,17253,2,359,0,0,1,4459,1,1,2,1,6592,0,1,0,0,1,233,9
24184,13123,1,680,1,2,1,5079,2,1,1,1,25906,0,0,0,0,2,44,22
6879,15053,1,109,0,2,1,7251,1,0,1,1,30316,3,2,0,1,3,240,18
12279,13024,0,276,1,2,0,2687,1,0,0,0,11038,0,1,1,1,2,101,8
5726,1063,0,1018,0,1,1,8007,2,0,2,1,8894,0,0,0,1,0,290,26
16043,28262,0,812,0,0,0,8774,1,0,0,1,29525,0,0,1,0,1,314,15
21732,24174,2,1255,1,0,1,4327,1,0,1,2,22605,0,1,0,0,2,75,7
1559,14169,1,912,1,0,0,129,0,0,0,2,13193,0,0,1,0,2,111,17
12543,24388,2,921,0,2,0,9641,2,1,2,0,21344,147,0,1,1,3,277,25
18079,7441,0,838,1,1,0,8351,2,0,2,2,10218,0,1,1,0,0,169,10
7105,22030,2,825,0,2,1,1434,2,1,0,2,4281,0,2,0,0,2,311,21
14439,23315,1,1428,1,2,1,3134,2,1,2,2,31086,0,1,0,0,0,66,14
11956,7878,2,723,0,0,0,366,2,1,2,1,22916,0,0,1,1,0,235,8
11321,5886,0,1006,0,2,0,9593,1,1,2,2,12573,32,2,1,1,3,242,22
21597,3792,2,1391,0,1,0,5728,0,0,1,0,12881,0,2,1,0,3,104,19
5170,23034,1,576,0,2,1,1028,1,0,0,2,29843,0,2,0,1,3,179,4
8525,12548,0,1114,1,2,1,532,2,1,1,0,11519,0,2,0,1,3,296,6
11753,2777,0,94,1,2,0,9019,1,0,1,2,11926,0,1,1,1,1,240,8
10005,27683,0,1345,1,1,0,6914,1,1,1,1,3069,0,2,1,1,0,123,8
25103,27682,2,802,0,0,1,8509,2,0,1,2,17228,0,1,0,0,3,57,14
21926,9837,1,279,1,2,0,1094,2,1,0,2,32156,0,2,1,0,0,69,4
10138,7144,0,467,1,1,1,6988,0,1,1,1,5507,0,2,0,1,3,241,23
13042,16160,0,1323,0,0,1,5088,2,1,1,2,18538,10,2,0,0,1,221,27
15365,21787,1,651,0,2,1,4256,0,0,1,0,23975,0,2,0,0,3,227,8
19480,22138,0,701,0,0,1,4659,1,0,0,1,4385,0,2,0,1,3,247,21
23599,9565,1,582,1,0,0,7642,1,1,1,1,12798,0,2,1,1,3,27,7
22238,21426,1,1078,0,2,0,2036,1,1,1,1,21174,23,0,1,1,2,50,17
3282,8880,0,941,0,1,0,8935,2,0,0,1,25475,0,2,1,0,2,50,0
25204,1926,0,920,1,1,0,6389,0,0,2,1,15373,0,1,1,1,1,249,21
19013,8689,2,448,1,2,0,7583,1,0,0,1,25034,49,0,1,1,2,48,12
28568,22784,2,1127,1,0,1,5255,1,0,2,1,22214,0,1,0,1,3,171,8
20712,819,0,463,0,0,1,2243,0,0,2,0,25680,0,0,0,0,1,249,18
27153,19354,1,1324,0,1,0,8051,2,1,0,0,26532,0,1,1,0,0,57,9
23371,16011,1,361,0,0,0,9689,0,0,2,0,27688,0,0,1,0,2,198,13
5618,6500,2,427,0,1,0,1419,0,1,0,0,19139,0,2,1,0,2,230,12
8062,11558,0,604,0,2,1,4064,0,1,1,2,18961,0,0,0,1,0,166,23
10336,22430,1,1063,1,0,0,3575,0,1,2,0,25670,0,1,1,0,0,186,26
28570,23088,1,1228,0,1,0,6032,2,0,1,0,23687,0,0,1,0,3,206,9
892,27669,2,962,1,0,0,3642,1,0,1,2,924,0,1,1,0,2,86,26
18391,20741,1,648,0,1,1,5455,1,1,2,0,22454,86,0,0,0,0,234,18
24689,2234,0,1246,1,2,0,6862,2,0,1,2,11421,0,1,1,0,3,47,5
9057,4961,2,1345,1,2,1,285,1,0,2,2,26295,0,2,0,1,2,209,27
14957,13495,2,875,1,2,1,2321,0,1,0,2,30249,0,1,0,0,3,237,4
18010,6254,2,297,0,0,0,9546,1,1,0,1,13503,0,1,1,1,1,295,12
26752,24721,0,659,0,1,0,3156,2,1,1,2,5157,0,0,1,0,3,136,1
28799,27701,1,1345,1,0,1,224,2,1,0,2,6407,0,1,0,0,1,240,17
7150,5456,0,290,0,2,0,1043,0,0,1,1,29622,93,2,1,1,1,77,22
13837,22862,2,812,0,1,0,431,2,0,2,2,30271,0,1,1,1,2,263,14
11679,1505,2,190,1,2,0,7390,0,0,1,1,1207,0,2,1,1,2,139,11
26698,11407,2,1036,1,1,1,2773,1,0,0,1,28338,0,0,0,0,1,176,1
23667,20977,1,510,1,1,0,2634,0,0,1,1,8903,0,0,1,1,3,298,18
2844,17755,0,103,0,0,1,9715,1,0,2,1,10307,0,2,0,0,0,224,27
5559,4391,2,750,0,0,0,8056,2,0,2,1,22937,0,2,1,0,0,234,18
13392,23013,2,57,1,1,1,3103,2,0,1,0,7819,0,0,0,0,3,91,19
29543,20635,2,799,0,2,0,5920,2,1,1,1,1017,0,2,1,1,1,284,26
16873,5433,0,123,1,2,0,6949,1,1,2,0,32093,0,2,1,1,0,314,25
23522,4820,2,1283,1,0,0,8030,0,0,0,0,6179,0,1,1,0,2,111,5
24958,12813,0,645,0,1,0,6922,2,0,0,2,23286,0,2,1,0,2,229,4
19456,3459,0,527,0,0,0,117,1,0,2,1,19753,0,0,1,0,2,83,9
7312,16749,1,979,1,0,0,2056,2,0,1,2,26154,0,1,1,1,2,216,7
2138,24299,2,162,0,1,0,4625,0,1,2,1,16555,0,1,1,0,1,281,1
22621,12252,0,567,0,1,1,2350,2,0,1,0,13457,115,0,0,0,0,187,23
5632,24771,0,545,0,1,0,5511,0,1,2,2,7777,0,0,1,0,0,2,10
23253,16411,0,1068,1,2,1,1557,1,1,1,0,15110,0,0,0,1,0,156,14
28792,3646,0,877,1,1,1,5021,0,1,2,0,18721,0,2,0,0,0,130,10
21250,10919,0,461,1,2,0,2821,1,1,2,0,7483,0,1,1,0,1,210,9
341,6990,2,642,0,2,1,6776,1,1,2,1,14334,0,1,0,0,1,260,1
27120,7826,2,1374,0,0,0,6064,0,1,2,1,4651,0,1,1,1,1,179,13
20542,19942,1,494,0,0,0,6344,0,1,1,2,17881,0,0,1,0,0,138,26
28831,2778,0,1421,1,0,1,1176,0,1,1,1,3293,0,2,0,0,1,281,14
11994,28266,2,1039,0,0,1,8947,1,0,1,0,3400,136,1,0,1,2,146,21
7379,5586,0,128,1,1,0,8179,0,0,2,0,23749,85,1,1,1,0,107,3
10648,28239,2,1243,1,0,0,5217,0,1,1,0,23844,0,0,1,0,1,210,24
9600,13299,0,818,0,1,1,1997,1,1,2,0,14897,0,2,0,0,0,197,24
5719,27995,1,1300,0,2,0,7680,2,0,0,2,27005,0,0,1,0,3,7,25
24146,21140,1,1304,1,1,1,12,1,1,2,1,28050,0,2,0,0,1,269,14
6638,12604,1,354,1,2,0,8565,0,1,0,2,15472,0,0,1,1,1,74,23
2578,23228,0,814,0,2,0,1302,0,1,0,0,17662,0,1,1,0,0,174,2
21,12245,2,1294,1,2,0,1752,1,0,1,1,15040,134,2,1,0,0,123,26
26931,24998,2,657,1,2,1,727,0,0,1,1,10126,141,2,0,0,3,20,5
1296,24390,1,1020,0,0,1,5221,2,0,2,1,11688,0,0,0,1,3,142,23
28964,26788,2,335,0,2,1,5308,0,1,2,0,26006,28,0,0,1,0,307,18
14355,5934,0,916,1,1,1,2677,0,1,0,1,13892,0,0,0,0,1,75,26
26331,9565,2,1080,1,1,1,6854,2,0,1,2,1883,0,0,0,1,3,235,3
1389,21422,1,359,0,1,0,2884,2,1,0,1,26832,0,2,1,1,0,196,14
18116,25415,0,516,1,1,1,2025,0,0,1,1,20238,0,2,0,1,2,182,23
9550,2980,0,706,1,1,1,8378,1,1,2,0,30373,0,0,0,1,2,100,9
24526,7572,2,244,1,0,1,4023,1,0,2,2,5530,0,0,0,0,3,70,22
25556,14976,0,374,1,0,1,1904,1,1,0,1,30636,0,0,0,0,3,198,13
8880,23642,1,523,0,0,0,5227,0,1,0,1,22932,0,0,1,1,3,196,6
28134,27840,1,601,0,0,0,4980,2,0,1,1,10822,0,2,1,0,2,138,26
2135,10107,2,653,0,2,0,7021,0,1,1,1,2653,8,2,1,1,0,26,12
9469,28818,0,1343,0,1,1,8672,0,1,2,0,15027,0,0,0,0,3,272,0
2753,14043,1,1026,1,1,1,207,1,1,1,1,2517,0,2,0,0,1,105,5
20504,15317,0,317,0,1,1,6670,2,0,2,0,12814,0,1,0,0,3,61,11
27815,10602,0,738,1,1,1,4024,1,1,1,0,1085,0,2,0,0,1,251,8
3992,8400,1,510,1,1,1,6787,0,0,1,0,8129,0,1,0,1,0,50,17
4154,15258,2,1088,0,0,0,4686,1,0,1,1,6575,0,1,1,0,2,244,8
18371,14924,2,286,1,0,0,2856,2,1,1,1,24132,0,1,1,0,3,8,15
10988,18213,1,1176,1,0,1,809,2,1,0,1,13393,0,0,0,0,2,100,19
3769,19357,1,527,1,2,0,1236,0,0,0,1,30549,0,1,1,1,1,92,10
3496,23999,1,433,0,0,0,1398,2,0,1,0,16358,0,0,1,0,0,312,10
1661,21269,2,121,0,2,0,4210,0,0,2,2,24466,0,2,1,1,1,273,9
18265,10364,1,8,1,1,0,600,1,0,0,0,20146,0,1,1,1,3,204,8
21472,8772,1,299,1,0,0,19,0,0,2,1,6068,0,0,1,1,0,181,0
14372,25686,1,241,0,0,0,5807,2,1,0,1,5589,0,2,1,0,1,26,23
17772,4752,2,1137,1,1,0,750,2,0,0,2,7426,0,1,1,1,3,171,1
21534,11471,2,574,1,2,1,3323,0,1,1,1,12206,139,2,0,1,0,183,10
28420,19586,0,1364,1,0,0,2343,0,0,2,1,7867,0,2,1,1,1,309,17
29090,7784,1,799,0,0,0,7985,2,0,0,1,26476,19,0,1,1,2,91,21
21509,10241,0,219,1,1,1,4301,0,0,2,1,8513,62,1,0,0,0,72,23
22346,26063,1,492,0,0,0,7061,2,0,2,0,2582,0,1,1,0,0,297,21
12703,24742,1,418,0,0,1,9196,0,1,2,1,10028,0,2,0,1,2,141,11
20348,12677,1,1094,0,1,0,3753,1,0,0,1,28537,128,0,1,1,3,29,22
10971,12640,2,727,0,2,1,5837,1,1,2,0,16056,0,2,0,0,0,126,5
1482,11292,0,892,1,2,1,1253,1,0,2,1,27132,0,0,0,0,0,57,27
26352,25559,2,131,0,0,0,8676,2,1,0,0,8385,0,2,1,0,0,190,3
23688,16876,1,896,1,1,0,1338,2,1,0,0,7762,0,1,1,0,2,148,8
13872,1986,2,606,0,0,1,7240,2,0,2,2,23990,0,2,0,0,3,164,19
7073,13777,1,368,1,0,0,2984,0,0,1,1,27671,0,1,1,1,2,285,5
23558,12283,2,494,0,1,0,8298,2,1,2,0,13295,0,0,1,0,3,294,13
5600,6499,2,905,0,1,0,4775,1,1,2,1,16977,0,2,1,1,1,26,0
5176,8590,2,1025,1,2,1,7502,1,0,2,2,17816,0,0,0,1,0,254,9
13361,15014,1,928,0,1,1,4040,1,1,1,0,23467,0,1,0,0,1,241,20
1027,11345,2,1354,1,2,1,9526,2,1,0,1,29339,170,1,0,0,3,0,18
11124,5655,2,1419,0,1,1,6261,0,1,0,2,12502,0,2,0,0,2,159,3
3190,8552,1,1040,1,1,1,6334,0,1,2,2,11162,0,1,0,0,2,120,25
5514,10484,0,450,1,2,1,5218,1,1,1,1,28845,0,0,0,1,1,95,15
12035,23194,2,572,0,1,0,8327,1,1,2,2,30836,0,1,1,0,2,191,9
24717,19651,2,294,1,2,0,1116,1,1,2,2,18644,150,1,1,1,0,94,1
21707,2252,2,997,0,1,1,452,1,1,0,0,17513,77,2,0,0,1,49,4
5279,14566,2,43,0,1,0,5563,2,1,1,0,1834,178,1,1,0,1,128,27
2929,17772,2,847,1,2,0,7604,1,1,0,1,22105,0,0,1,0,3,188,17
11199,1197,0,1001,0,2,0,2670,0,1,1,0,31192,0,2,1,0,1,214,15
7594,2178,1,868,0,0,0,7735,2,0,0,1,24604,0,1,1,1,2,234,9
6477,19789,1,244,1,0,0,4698,1,1,1,1,6979,0,0,1,1,1,26,26
22159,23714,2,776,0,1,0,3765,1,1,0,2,7964,0,1,1,0,3,240,4
4485,22566,1,738,1,0,1,9228,2,0,2,2,22986,0,1,0,1,0,195,11
9004,13951,1,1099,1,0,1,2901,1,0,1,0,8063,0,1,0,0,0,32,9
14482,8248,2,734,0,2,1,5273,2,1,1,1,11433,0,1,0,1,3,29,19
20569,21522,2,1271,0,2,1,8128,1,0,2,1,3376,0,1,0,1,2,284,4
27493,15472,1,388,1,1,1,7082,0,0,1,1,19568,0,2,0,1,1,161,9
10700,14315,1,131,1,1,0,9460,0,1,2,0,788,0,2,1,1,2,191,6
6712,3271,2,1372,0,1,1,6708,1,1,0,0,25785,0,0,0,1,1,65,2
13779,24192,0,681,1,1,0,9111,1,1,0,1,28242,0,2,1,0,0,81,26
12219,392,0,722,0,2,0,3103,1,1,1,1,12089,0,2,1,1,1,235,17
1440,1055,1,1009,1,0,0,5783,0,1,2,1,3765,0,1,1,1,0,163,16
29631,29653,0,1199,1,0,1,8208,0,0,0,0,20277,0,0,0,1,3,175,27
21057,6178,1,384,1,2,0,4705,0,0,1,0,26916,0,2,1,1,1,69,20
10071,25044,2,1071,1,2,1,543,2,1,0,2,2553,0,2,0,0,0,16,5
1744,12613,0,1417,0,2,0,8305,1,0,2,0,11767,6,1,1,0,2,271,16
19520,24429,0,602,0,2,1,7676,0,0,0,1,14800,0,0,0,0,1,25,24
1068,28217,0,318,1,2,0,5385,2,1,2,2,19529,99,1,1,0,0,232,14
14669,9420,2,223,0,1,1,1914,2,1,0,2,4328,0,1,0,0,0,133,26
8488,18048,1,1166,0,1,0,7086,0,1,1,0,8984,0,0,1,0,2,253,23
24638,6383,1,718,0,2,0,7449,0,1,2,1,26988,0,0,1,1,1,42,23
11604,5511,0,965,1,1,0,1813,0,0,1,2,26011,0,1,1,0,3,219,20
10949,26053,0,539,1,1,1,8794,2,0,1,0,2744,0,0,0,1,3,71,5
18700,8964,1,96,1,1,0,6934,0,0,2,2,4145,0,2,1,0,2,264,20
18766,15348,1,1239,0,1,1,300,2,0,1,1,16256,2,1,0,0,2,39,7
19694,5626,2,860,1,1,1,4084,2,0,2,0,30646,0,0,0,1,2,6,1
2953,3602,0,1165,0,1,0,3673,1,0,2,1,12152,0,0,1,0,2,275,12
6218,1046,2,1183,1,1,0,5080,1,1,0,0,13229,44,2,1,0,3,279,20
21192,22956,2,393,1,1,0,4810,2,1,0,2,10984,0,2,1,1,0,207,3
10426,5569,1,489,1,2,0,4002,2,1,2,1,18081,0,2,1,1,1,242,2
6369,6842,1,1394,0,0,0,8911,1,0,0,0,4740,0,1,1,0,3,308,13
12129,28846,1,564,0,0,0,1862,1,0,1,1,26977,8,0,1,0,0,221,4
2469,10223,1,44,0,0,0,5266,2,1,1,2,18981,0,1,1,0,2,38,15
23233,11366,1,835,0,2,1,6124,1,0,2,2,25371,0,1,0,1,3,125,1
12097,3512,2,640,1,2,0,2762,2,1,1,1,12134,0,0,1,0,2,227,7
20793,15879,1,727,1,1,0,6553,1,0,1,2,7284,0,0,1,1,3,41,19
22102,1482,1,1165,1,2,0,5796,0,1,0,0,18478,0,2,1,1,1,255,3
27935,3576,0,261,0,0,0,1106,0,0,1,1,8826,0,2,1,1,1,87,14
5799,8312,0,771,0,2,0,4670,1,1,2,1,32196,0,0,1,1,0,132,14
27398,4753,1,657,1,1,1,6361,2,0,0,1,25844,0,2,0,0,2,196,13
24525,9667,0,1098,0,1,1,2225,2,1,2,1,16663,0,2,0,0,2,10,4
25580,18209,1,856,0,1,0,6950,0,0,0,0,23700,0,1,1,1,2,194,1
3393,26768,2,571,1,0,0,6600,1,0,2,1,3534,0,1,1,1,0,102,17
3844,298,1,797,0,2,1,4486,0,1,1,2,11095,0,0,0,0,2,234,0
23929,28804,0,1379,1,2,0,857,0,1,2,1,9580,0,2,1,1,2,55,5
21907,16050,2,298,0,0,0,7569,2,1,2,2,25933,0,2,1,0,2,110,11
9896,2892,0,616,1,1,0,2116,0,1,1,1,14368,105,0,1,0,1,290,4
23193,8698,0,1355,0,1,0,2886,1,0,1,0,2689,0,1,1,0,0,100,7
29216,23329,0,685,0,0,1,952,2,0,0,1,28,0,2,0,0,2,2,9
723,7758,1,1341,1,1,1,3402,1,0,2,2,30557,0,1,0,0,0,129,16
8496,2486,0,1161,1,1,1,4860,2,0,2,0,22354,0,1,0,0,3,264,17
192,7516,2,397,0,2,1,8152,2,0,1,0,26823,0,1,0,1,3,188,10
5929,23090,2,1364,1,2,1,2432,0,0,0,2,21907,0,1,0,1,0,111,9
23906,8298,1,1038,0,1,0,1903,1,1,0,1,9207,155,0,1,0,2,279,17
27817,3021,1,1345,1,2,1,4512,2,1,2,0,23326,0,2,0,0,2,182,10
29231,5282,0,896,1,2,1,9604,0,1,2,0,20851,0,2,0,0,0,98,5
17357,29483,0,373,0,2,1,5086,1,0,1,0,10888,0,0,0,0,2,247,27
25573,4531,2,115,0,1,1,7203,0,1,0,0,31158,30,1,0,1,2,267,17
3203,18976,1,1354,0,2,1,6706,1,0,0,1,24424,0,1,0,0,2,181,11
629,9870,1,909,0,2,0,3325,2,0,1,1,10708,0,0,1,1,0,232,0
10670,25520,1,1083,1,0,0,4483,0,0,1,0,26950,20,2,1,1,0,236,12
18029,23861,0,452,1,0,1,8706,2,0,2,1,10902,0,0,0,1,0,15,14
18487,26385,1,1064,0,2,0,974,1,0,0,1,19770,54,0,1,1,0,163,4
25954,27832,2,571,1,1,0,7831,0,0,1,1,17386,79,0,1,0,1,118,25
26819,29809,2,945,1,1,1,4427,1,0,1,2,2537,0,1,0,1,0,177,5
13939,15240,0,40,0,2,0,5826,1,1,2,0,18452,0,1,1,1,1,275,17
7548,22339,1,34,0,0,0,9735,0,0,1,0,20481,0,1,1,0,1,10,18
914,14525,0,1288,1,0,0,992,2,0,0,0,2518,93,1,1,1,0,124,4
3165,11089,2,99,1,1,1,6817,2,0,2,0,8157,0,1,0,1,1,274,18
26458,10150,0,701,0,2,1,8388,1,0,1,0,10374,0,1,0,1,2,153,17
6523,21361,0,738,0,1,0,3263,2,0,1,0,11160,0,1,1,0,0,244,21
11130,5591,1,1102,0,0,0,6804,0,1,2,0,22407,0,1,1,1,3,150,8
3268,16700,0,530,0,2,0,6371,1,1,1,0,27387,0,2,1,0,0,110,26
20106,3962,1,1279,1,0,0,2517,0,0,2,1,21383,26,1,1,1,0,292,6
9321,4166,0,537,1,1,1,560,1,1,2,2,26577,0,0,0,1,3,173,7
27159,23557,2,1393,0,0,1,8797,0,0,1,2,14711,0,0,0,0,2,44,21
3945,5767,2,822,1,2,0,8101,2,0,0,2,18071,131,1,1,0,2,264,15
27596,18768,1,1002,0,0,0,4562,0,0,0,2,30013,169,2,1,0,0,123,13
2230,29367,0,684,0,0,1,6435,2,1,0,1,9438,0,0,0,0,1,202,26
11400,24441,1,802,0,2,0,6622,1,1,2,0,31858,0,2,1,0,1,238,18
25192,17237,2,1124,0,1,0,3620,2,1,1,2,24884,0,2,1,1,1,167,4
23372,2018,2,268,0,0,1,2870,2,1,0,0,22508,0,0,0,0,3,43,18
7053,6236,1,606,0,1,1,7816,1,0,1,1,28393,0,1,0,0,3,234,21
23440,11670,1,888,1,1,0,5498,2,1,1,0,18778,0,0,1,1,3,175,18
16419,15079,2,1304,0,2,1,2557,1,0,2,0,14150,0,2,0,0,1,119,25
17303,29861,0,569,0,1,1,3598,2,0,0,1,6435,0,0,0,0,0,301,9
22528,10634,0,610,0,1,1,2975,1,0,0,1,3023,57,1,0,0,3,110,17
4244,25138,0,12,1,2,1,8727,1,0,1,0,766,14,2,0,0,2,153,26
27788,22443,1,325,0,1,1,3228,0,0,1,1,2669,0,0,0,0,1,193,9
11787,14331,0,61,0,1,0,5129,1,0,0,1,13381,0,1,1,0,0,166,23
2853,5632,2,998,1,0,0,1811,0,1,0,0,10441,0,0,1,1,0,189,5
11871,19839,1,1300,0,1,1,7037,0,0,2,2,20609,0,2,0,0,1,200,0
14899,4195,2,713,1,2,1,9322,1,0,2,2,25828,107,1,0,1,1,29,1
9736,3310,0,970,0,0,0,2681,1,0,1,1,5345,12,1,1,1,1,191,24
26065,3244,1,397,0,2,0,507,2,0,2,0,29667,0,2,1,1,1,286,25
