Action Taken,Severity Level,Attack Type,Destination Port,Source Port,Anomaly Scores,Packet Length,Localidad
0,1,1,1190,14005,4089,606,116
0,0,0,12836,26821,8964,24,307
1,1,2,4107,17334,8143,1433,44
1,0,1,523,16070,7759,240,215
1,1,0,1806,10013,4990,937,118
2,0,2,1395,4370,7410,1288,175
0,1,0,30,26102,3261,484,143
2,0,1,8424,3076,716,1050,313
1,1,0,14029,15402,7544,85,272
2,2,1,1752,25285,3569,484,35
2,0,2,10982,9356,1317,1042,221
1,1,1,15197,17412,6793,1226,11
2,0,0,13437,6984,467,126,289
2,0,2,27844,1905,5086,931,29
0,0,1,26604,6558,8245,1278,294
1,2,2,10965,8335,7833,658,72
0,1,2,24538,20139,1473,1117,120
2,2,2,16501,4758,1192,843,308
1,0,1,12506,28420,329,1363,125
0,1,1,6405,7006,1867,729,27
1,1,0,4327,24505,9514,622,102
2,1,1,4036,18210,8138,1028,250
2,0,1,24103,24982,8667,428,283
0,2,2,8020,14283,4465,747,35
2,1,1,6392,6117,8951,1380,170
2,1,1,17253,3135,4459,359,233
1,1,2,13123,24184,5079,680,44
1,1,1,15053,6879,7251,109,240
0,0,1,13024,12279,2687,276,101
2,1,2,1063,5726,8007,1018,290
0,1,1,28262,16043,8774,812,314
1,2,1,24174,21732,4327,1255,75
0,2,0,14169,1559,129,912,111
2,0,2,24388,12543,9641,921,277
2,2,2,7441,18079,8351,838,169
0,2,2,22030,7105,1434,825,311
2,2,2,23315,14439,3134,1428,66
2,1,2,7878,11956,366,723,235
2,2,1,5886,11321,9593,1006,242
1,0,0,3792,21597,5728,1391,104
0,2,1,23034,5170,1028,576,179
1,0,2,12548,8525,532,1114,296
1,2,1,2777,11753,9019,94,240
1,1,1,27683,10005,6914,1345,123
1,2,2,27682,25103,8509,802,57
0,2,2,9837,21926,1094,279,69
1,1,0,7144,10138,6988,467,241
1,2,2,16160,13042,5088,1323,221
1,0,0,21787,15365,4256,651,227
0,1,1,22138,19480,4659,701,247
1,1,1,9565,23599,7642,582,27
1,1,1,21426,22238,2036,1078,50
0,1,2,8880,3282,8935,941,50
2,1,0,1926,25204,6389,920,249
0,1,1,8689,19013,7583,448,48
2,1,1,22784,28568,5255,1127,171
2,0,0,819,20712,2243,463,249
0,0,2,19354,27153,8051,1324,57
2,0,0,16011,23371,9689,361,198
0,0,0,6500,5618,1419,427,230
1,2,0,11558,8062,4064,604,166
2,0,0,22430,10336,3575,1063,186
1,0,2,23088,28570,6032,1228,206
1,2,1,27669,892,3642,962,86
2,0,1,20741,18391,5455,648,234
1,2,2,2234,24689,6862,1246,47
2,2,1,4961,9057,285,1345,209
0,2,0,13495,14957,2321,875,237
0,1,1,6254,18010,9546,297,295
1,2,2,24721,26752,3156,659,136
0,2,2,27701,28799,224,1345,240
1,1,0,5456,7150,1043,290,77
2,2,2,22862,13837,431,812,263
1,1,0,1505,11679,7390,190,139
0,1,1,11407,26698,2773,1036,176
1,1,0,20977,23667,2634,510,298
2,1,1,17755,2844,9715,103,224
2,1,2,4391,5559,8056,750,234
1,0,2,23013,13392,3103,57,91
1,1,2,20635,29543,5920,799,284
2,0,1,5433,16873,6949,123,314
0,0,0,4820,23522,8030,1283,111
0,2,2,12813,24958,6922,645,229
2,1,1,3459,19456,117,527,83
1,2,2,16749,7312,2056,979,216
2,1,0,24299,2138,4625,162,281
1,0,2,12252,22621,2350,567,187
2,2,0,24771,5632,5511,545,2
1,0,1,16411,23253,1557,1068,156
2,0,0,3646,28792,5021,877,130
2,0,1,10919,21250,2821,461,210
2,1,1,6990,341,6776,642,260
2,1,0,7826,27120,6064,1374,179
1,2,0,19942,20542,6344,494,138
1,1,0,2778,28831,1176,1421,281
1,0,1,28266,11994,8947,1039,146
2,0,0,5586,7379,8179,128,107
1,0,0,28239,10648,5217,1243,210
2,0,1,13299,9600,1997,818,197
0,2,2,27995,5719,7680,1300,7
2,1,1,21140,24146,12,1304,269
0,2,0,12604,6638,8565,354,74
0,0,0,23228,2578,1302,814,174
1,1,1,12245,21,1752,1294,123
1,1,0,24998,26931,727,657,20
2,1,2,24390,1296,5221,1020,142
2,0,0,26788,28964,5308,335,307
0,1,0,5934,14355,2677,916,75
1,2,2,9565,26331,6854,1080,235
0,1,2,21422,1389,2884,359,196
1,1,0,25415,18116,2025,516,182
2,0,1,2980,9550,8378,706,100
2,2,1,7572,24526,4023,244,70
0,1,1,14976,25556,1904,374,198
0,1,0,23642,8880,5227,523,196
1,1,2,27840,28134,4980,601,138
1,1,0,10107,2135,7021,653,26
2,0,0,28818,9469,8672,1343,272
1,1,1,14043,2753,207,1026,105
2,0,2,15317,20504,6670,317,61
1,0,1,10602,27815,4024,738,251
1,0,0,8400,3992,6787,510,50
1,1,1,15258,4154,4686,1088,244
1,1,2,14924,18371,2856,286,8
0,1,2,18213,10988,809,1176,100
0,1,0,19357,3769,1236,527,92
1,0,2,23999,3496,1398,433,312
2,2,0,21269,1661,4210,121,273
0,0,1,10364,18265,600,8,204
2,1,0,8772,21472,19,299,181
0,1,2,25686,14372,5807,241,26
0,2,2,4752,17772,750,1137,171
1,1,0,11471,21534,3323,574,183
2,1,0,19586,28420,2343,1364,309
0,1,2,7784,29090,7985,799,91
2,1,0,10241,21509,4301,219,72
2,0,2,26063,22346,7061,492,297
2,1,0,24742,12703,9196,418,141
0,1,1,12677,20348,3753,1094,29
2,0,1,12640,10971,5837,727,126
2,1,1,11292,1482,1253,892,57
0,0,2,25559,26352,8676,131,190
0,0,2,16876,23688,1338,896,148
2,2,2,1986,13872,7240,606,164
1,1,0,13777,7073,2984,368,285
2,0,2,12283,23558,8298,494,294
2,1,1,6499,5600,4775,905,26
2,2,1,8590,5176,7502,1025,254
1,0,1,15014,13361,4040,928,241
0,1,2,11345,1027,9526,1354,0
0,2,0,5655,11124,6261,1419,159
2,2,0,8552,3190,6334,1040,120
1,1,1,10484,5514,5218,450,95
2,2,1,23194,12035,8327,572,191
2,2,1,19651,24717,1116,294,94
0,0,1,2252,21707,452,997,49
1,0,2,14566,5279,5563,43,128
0,1,1,17772,2929,7604,847,188
1,0,0,1197,11199,2670,1001,214
0,1,2,2178,7594,7735,868,234
1,1,1,19789,6477,4698,244,26
0,2,1,23714,22159,3765,776,240
2,2,2,22566,4485,9228,738,195
1,0,1,13951,9004,2901,1099,32
1,1,2,8248,14482,5273,734,29
2,1,1,21522,20569,8128,1271,284
1,1,0,15472,27493,7082,388,161
2,0,0,14315,10700,9460,131,191
0,0,1,3271,6712,6708,1372,65
0,1,1,24192,13779,9111,681,81
1,1,1,392,12219,3103,722,235
2,1,0,1055,1440,5783,1009,163
0,0,0,29653,29631,8208,1199,175
1,0,0,6178,21057,4705,384,69
0,2,2,25044,10071,543,1071,16
2,0,1,12613,1744,8305,1417,271
0,1,0,24429,19520,7676,602,25
2,2,2,28217,1068,5385,318,232
0,2,2,9420,14669,1914,223,133
1,0,0,18048,8488,7086,1166,253
2,1,0,6383,24638,7449,718,42
1,2,0,5511,11604,1813,965,219
1,0,2,26053,10949,8794,539,71
2,2,0,8964,18700,6934,96,264
1,1,2,15348,18766,300,1239,39
2,0,2,5626,19694,4084,860,6
2,1,1,3602,2953,3673,1165,275
0,0,1,1046,6218,5080,1183,279
0,2,2,22956,21192,4810,393,207
2,1,2,5569,10426,4002,489,242
0,0,1,6842,6369,8911,1394,308
1,1,1,28846,12129,1862,564,221
1,2,2,10223,2469,5266,44,38
2,2,1,11366,23233,6124,835,125
1,1,2,3512,12097,2762,640,227
1,2,1,15879,20793,6553,727,41
0,0,0,1482,22102,5796,1165,255
1,1,0,3576,27935,1106,261,87
2,1,1,8312,5799,4670,771,132
0,1,2,4753,27398,6361,657,196
2,1,2,9667,24525,2225,1098,10
0,0,0,18209,25580,6950,856,194
2,1,1,26768,3393,6600,571,102
1,2,0,298,3844,4486,797,234
2,1,0,28804,23929,857,1379,55
2,2,2,16050,21907,7569,298,110
1,1,0,2892,9896,2116,616,290
1,0,1,8698,23193,2886,1355,100
0,1,2,23329,29216,952,685,2
2,2,1,7758,723,3402,1341,129
2,0,2,2486,8496,4860,1161,264
1,0,2,7516,192,8152,397,188
0,2,0,23090,5929,2432,1364,111
0,1,1,8298,23906,1903,1038,279
2,0,2,3021,27817,4512,1345,182
2,0,0,5282,29231,9604,896,98
1,0,1,29483,17357,5086,373,247
0,0,0,4531,25573,7203,115,267
0,1,1,18976,3203,6706,1354,181
1,1,2,9870,629,3325,909,232
1,0,0,25520,10670,4483,1083,236
2,1,2,23861,18029,8706,452,15
0,1,1,26385,18487,974,1064,163
1,1,0,27832,25954,7831,571,118
1,2,1,29809,26819,4427,945,177
2,0,1,15240,13939,5826,40,275
1,0,0,22339,7548,9735,34,10
0,0,2,14525,914,992,1288,124
2,0,2,11089,3165,6817,99,274
1,0,1,10150,26458,8388,701,153
1,0,2,21361,6523,3263,738,244
2,0,0,5591,11130,6804,1102,150
1,0,1,16700,3268,6371,530,110
2,1,0,3962,20106,2517,1279,292
2,2,1,4166,9321,560,537,173
1,2,0,23557,27159,8797,1393,44
0,2,2,5767,3945,8101,822,264
0,2,0,18768,27596,4562,1002,123
0,1,2,29367,2230,6435,684,202
2,0,1,24441,11400,6622,802,238
1,2,2,17237,25192,3620,1124,167
0,0,2,2018,23372,2870,268,43
1,1,1,6236,7053,7816,606,234
1,0,2,11670,23440,5498,888,175
2,0,1,15079,16419,2557,1304,119
0,1,2,29861,17303,3598,569,301
0,1,1,10634,22528,2975,610,110
1,0,1,25138,4244,8727,12,153
1,1,0,22443,27788,3228,325,193
0,1,1,14331,11787,5129,61,166
0,0,0,5632,2853,1811,998,189
2,2,0,19839,11871,7037,1300,200
2,2,1,4195,14899,9322,713,29
1,1,1,3310,9736,2681,970,191
2,0,2,3244,26065,507,397,286
1,0,1,1765,25614,4425,1429,55
1,1,0,23571,22861,3793,1007,198
2,2,1,26268,1808,725,720,136
1,0,2,24013,15827,1406,76,247
1,1,2,27714,15646,2472,342,300
1,1,1,3424,14236,4358,1364,113
0,1,1,1281,22684,8967,614,65
0,0,1,5532,27850,7256,469,91
2,1,2,17952,25427,220,77,169
0,2,2,29098,5375,5616,410,270
0,2,0,29574,19695,6869,1336,120
2,1,2,27813,11539,1373,242,93
2,0,1,20784,7647,2313,1126,222
1,0,1,1072,10738,6157,1214,63
0,0,1,26870,10316,6065,1072,161
0,1,2,5002,14034,3405,579,98
0,2,1,1349,4820,4952,922,270
2,0,1,26951,10257,3996,805,77
1,0,0,4158,12812,486,571,28
1,1,2,24799,18800,2692,1202,11
0,0,1,18186,28329,3880,1349,228
1,0,1,1299,6320,7983,705,271
1,0,2,24162,28100,4026,751,77
0,1,2,5037,27242,3639,862,107
0,0,2,25660,3651,4212,800,30
2,2,0,5541,1835,786,1169,86
1,2,2,12319,17536,8221,721,288
1,2,1,18500,2330,5247,515,285
2,2,2,8587,7686,3238,1006,180
0,0,0,12948,5366,2624,896,224
2,0,0,18598,18536,7281,100,131
2,2,1,142,4819,6416,511,8
0,1,2,17561,20696,1370,925,212
1,2,1,19105,12579,4985,1031,200
0,2,1,8725,19620,7113,1147,198
1,0,1,22075,4716,3945,989,129
1,1,1,925,22843,9437,1365,16
1,1,1,10970,21340,9504,1324,212
1,0,0,27760,23837,2415,199,0
0,2,0,18149,26110,5993,869,214
0,2,2,26494,7593,7621,972,213
0,1,2,10227,7836,2293,272,139
2,0,2,17637,28460,2928,1315,253
1,2,2,29288,19617,96,222,80
0,0,0,21307,26999,1931,779,94
0,1,1,26896,12647,4400,523,307
1,0,0,23505,9058,6618,305,80
2,1,0,8179,19778,4892,331,27
0,0,0,23077,8768,6522,52,294
0,2,2,3293,11750,8953,1021,39
1,1,1,28599,19299,8498,1309,10
2,0,1,15359,4469,2116,1293,62
2,1,2,2518,1160,5890,434,80
2,2,1,13494,23598,9547,596,112
0,1,0,23925,2769,5783,1014,95
1,2,0,12373,21316,6913,19,222
1,2,2,12611,25623,1815,384,286
0,1,2,11004,16988,1446,348,172
1,2,2,7013,26921,6953,1400,100
0,2,0,23151,8549,6014,805,211
2,1,1,29786,3277,4425,1212,246
0,0,2,10848,18927,1289,818,215
0,1,0,1109,785,6618,1308,97
0,0,1,4519,7857,520,934,279
1,0,1,27219,23963,6020,174,271
2,1,2,13365,19668,7438,416,133
0,0,2,19698,24671,6035,984,74
2,1,0,5369,21988,339,1214,0
2,2,1,11439,17476,8372,1265,157
1,1,0,27060,325,1205,184,39
1,2,2,9564,18214,5083,734,293
0,2,0,17179,25978,2566,720,159
0,1,1,16416,26266,1536,1379,313
0,2,1,5941,4158,1454,1060,13
0,1,0,28726,7510,8295,1047,187
0,0,2,665,3254,6747,587,142
2,1,0,13271,9211,2231,305,125
0,0,0,2209,15199,7518,1415,238
1,2,0,12643,9184,4262,204,181
0,1,2,7397,1424,2101,1105,295
1,2,0,9395,4444,9425,707,90
0,2,1,4207,23330,1583,86,36
1,0,2,3500,1438,5240,967,96
2,0,2,16437,19412,3808,1186,97
0,0,0,3320,10194,7240,1025,303
1,1,0,18740,10871,4916,1214,138
0,2,2,11163,11307,5727,648,233
2,1,0,21184,18343,4643,955,282
2,0,1,24456,4774,3982,1220,48
1,2,2,18421,5738,7008,840,173
1,0,0,14036,12329,121,1197,46
0,1,0,20424,10344,9423,1321,307
0,1,1,13280,25885,7803,594,145
0,1,2,26032,24536,7742,958,12
2,2,1,826,24218,3435,302,314
1,2,1,1685,4329,9279,1210,189
2,1,2,2998,16787,6820,1298,219
0,0,0,2694,2086,3484,335,201
2,0,0,7914,20030,8264,318,188
2,2,2,26027,15073,6205,832,260
2,1,1,18709,24142,3590,1269,25
1,0,0,29463,20526,9619,1004,72
1,2,2,27237,9238,4733,1369,288
1,2,0,19398,26460,4582,1433,20
2,2,0,246,3258,1241,105,244
2,0,0,5566,25594,7965,1290,55
2,2,2,2650,25601,3417,1353,149
2,0,1,7686,6419,8872,990,74
2,1,2,23895,4216,5715,496,109
1,1,0,4,7842,2398,1222,29
1,2,1,4322,13913,9517,442,147
0,2,1,23795,5587,8281,403,293
0,1,0,10910,1996,1887,851,120
2,1,1,910,9931,1426,345,214
0,2,0,29437,24837,5375,752,108
1,2,2,20323,13925,3117,586,136
2,2,0,2256,27162,669,486,97
0,0,1,27006,4593,4136,371,300
2,1,0,23358,14117,6511,478,16
0,0,2,17895,12131,407,548,291
1,2,2,13263,19307,6197,1041,164
0,1,0,11843,19571,967,1110,166
0,1,1,23187,7671,1728,135,90
1,0,2,19408,12106,3809,758,300
0,2,1,7007,20041,6709,132,52
0,2,2,17578,10486,1502,1195,172
2,2,1,21278,917,8146,693,158
2,1,0,29747,29609,7928,390,269
1,0,1,7435,16090,5711,785,255
2,0,2,5859,26558,8822,1410,184
2,0,0,27286,10585,9425,60,192
2,1,1,18669,24283,9445,1116,211
0,1,1,16131,29019,1097,1029,308
1,0,2,14711,8124,3052,1007,292
2,1,1,4395,344,212,541,14
2,0,1,232,10706,3877,728,27
2,2,1,7901,23401,565,265,225
1,2,1,1031,16177,1985,180,200
1,0,1,24438,8879,7075,1220,229
1,2,1,20952,4037,2925,1190,190
2,0,0,28594,1837,3327,548,100
1,1,2,19521,12988,2905,192,113
1,2,2,20928,13611,1153,810,83
2,0,0,22583,18120,1566,352,303
2,1,0,24979,18146,8757,145,135
2,0,2,29413,21015,3825,702,37
2,2,2,12878,25295,5604,665,69
2,2,1,29626,16370,402,802,226
0,0,1,26737,7390,2400,1355,46
2,0,0,1636,519,8775,1050,188
2,2,2,11551,10761,6961,65,100
1,2,0,27256,987,437,190,33
1,2,0,12526,6706,2212,282,139
0,2,0,18102,16326,1228,626,269
0,0,2,2815,6530,8544,1016,190
0,2,1,20652,13368,8392,386,137
2,0,0,22247,20094,2429,414,11
1,0,1,6042,1023,6147,691,183
0,2,2,21112,14071,299,722,39
2,1,2,22589,2064,8004,1170,246
2,0,2,23516,21243,889,855,24
1,1,0,13727,10689,1446,1350,267
2,2,1,10900,27853,37,1267,76
1,1,2,9398,26995,1300,163,182
1,0,2,10504,25013,2750,401,272
1,2,1,2869,4089,4481,1300,278
0,1,0,1439,19731,7210,1281,209
1,0,0,20314,22636,3299,345,305
1,0,1,19821,24557,3996,412,5
1,2,0,27519,28032,4878,92,221
1,1,0,21402,23591,384,1005,121
2,0,1,19478,21052,3519,1052,246
0,2,0,28741,18339,1773,1415,241
1,1,2,10971,17173,1445,78,191
2,1,0,11168,5084,6477,765,213
2,0,2,1247,11391,6497,286,166
2,1,0,14878,18153,3201,651,140
2,2,0,20526,5025,4937,91,212
2,0,2,5885,13079,8670,584,83
0,0,1,13194,15743,6003,1274,28
1,0,2,23162,17717,1114,931,281
0,0,1,15957,17032,4095,791,253
1,1,0,1044,27031,7621,20,312
2,2,0,25116,18891,1688,211,208
2,2,2,17816,27543,233,106,200
0,0,0,2111,24565,6388,133,277
1,0,0,24173,12405,6612,1207,175
1,0,0,23381,21418,2308,1324,98
0,1,0,26810,1943,5993,111,184
1,2,0,17167,20096,6819,1385,232
2,0,0,13196,27989,508,23,265
1,2,1,22099,2616,6918,611,247
2,2,2,16725,18649,3077,800,115
2,2,0,1406,1154,5601,680,253
2,0,1,25580,3439,5629,416,286
0,1,1,6241,5508,9249,1340,306
1,0,0,1396,448,3944,111,277
0,1,1,7351,22965,8821,716,242
0,1,1,29600,6970,3405,16,257
1,2,1,19657,15100,4870,814,141
0,1,0,26321,20952,872,400,51
2,0,2,14351,15048,4399,59,95
1,1,1,24905,7317,9220,165,7
2,2,2,14605,17979,8200,498,276
1,0,0,8215,14219,5037,1277,134
2,1,0,21153,4442,4883,764,262
0,0,1,11365,27871,4780,619,11
0,1,0,2828,23781,6509,1423,41
0,1,2,12398,13004,3017,279,180
1,0,2,20338,1286,4081,197,20
2,0,1,28299,6909,3597,249,82
0,0,1,12114,24577,238,1279,163
2,2,2,17267,9221,9154,78,269
0,0,1,21568,1591,5741,1390,139
2,1,2,13870,2661,4376,338,169
2,1,0,3070,18931,8504,1113,283
1,2,1,5209,145,444,666,160
2,1,0,8168,3022,3990,855,68
2,2,2,1048,8487,4801,695,20
1,2,0,25859,20301,6649,928,124
1,0,2,4655,5445,6282,614,255
0,2,2,12500,29106,9686,587,287
1,1,1,29859,23778,3600,587,178
0,0,1,26123,18355,6665,836,86
2,2,0,26912,4891,5255,417,192
2,1,2,29037,21900,6601,661,138
2,2,0,10991,2589,151,1296,237
0,1,1,6969,12396,5565,519,100
2,0,1,21335,16786,7535,607,144
1,2,0,17173,26183,3146,1425,61
0,1,2,16328,13711,8626,688,110
0,2,1,13130,11346,9813,311,105
0,2,0,1020,18516,7982,434,130
1,0,2,26108,11443,1838,181,298
2,1,0,24504,12335,6385,1344,99
2,2,1,15735,3240,6477,1348,295
2,1,2,24329,12784,5402,975,9
0,1,1,13773,2644,5209,1229,87
0,0,0,4336,4660,1981,1282,51
2,0,0,8541,3652,7480,1330,260
0,1,0,21941,28133,7437,708,132
1,0,0,11916,26137,2953,646,126
1,0,0,11152,26928,6241,431,238
2,0,1,4715,19663,3602,521,15
0,1,1,12783,14778,2539,364,7
1,2,1,20243,8204,7764,769,307
1,0,0,6953,29087,5416,686,65
0,2,1,26808,3230,1019,491,8
2,2,2,28031,6798,6602,833,278
1,1,2,18358,20353,7856,62,150
2,1,2,15741,2059,5551,1181,164
2,1,2,22666,29318,501,1397,237
0,0,2,27769,24187,2331,965,233
1,0,1,12641,22432,8840,1254,45
2,1,0,3760,13476,2353,673,307
0,2,0,10646,25602,6200,955,122
2,0,2,3037,4703,4005,863,302
2,0,1,17804,8640,863,1380,38
1,0,0,10343,2899,5865,252,270
0,0,1,24077,2098,3616,1276,246
1,1,0,22059,6235,5769,580,170
0,0,2,2684,6814,7235,536,304
1,0,1,23203,18262,468,218,251
0,1,0,25896,3780,7793,677,171
2,1,1,13702,3695,4365,206,58
1,0,2,28877,29715,33,398,163
0,2,1,25165,10883,1642,190,228
0,0,0,13580,59,7830,1167,236
0,2,2,26642,23679,3798,833,156
0,0,1,26547,25976,6659,446,244
1,0,2,3387,70,9029,513,166
2,0,0,2142,19574,961,525,62
2,1,2,27127,10108,2981,44,181
2,1,0,21689,5801,2982,579,125
2,2,1,8647,10289,662,400,40
2,1,0,27095,7367,2241,507,52
2,2,0,19672,21105,7670,835,221
2,2,2,27788,22750,4220,437,190
0,2,0,12863,99,4803,285,89
1,0,0,17929,12595,8965,58,280
0,0,1,16016,24237,9691,247,213
0,1,1,21427,26854,7959,388,247
2,2,2,21263,27492,6455,416,51
1,1,1,25125,28142,5135,1292,100
2,0,0,10989,17079,4111,1369,0
2,0,2,9234,14234,568,1386,125
1,1,0,29601,2888,3397,1295,64
2,1,2,14664,18737,8563,1025,181
1,0,1,2323,24379,1968,656,46
0,0,0,7247,14633,2158,1268,103
1,1,2,1166,23128,3893,444,276
0,0,1,21938,5638,3564,490,85
1,0,0,6483,6626,8542,437,163
2,2,0,20884,23124,2332,429,66
1,2,1,25228,6497,524,1286,116
2,1,0,7314,16173,2196,686,304
1,1,1,9157,10034,2519,1140,303
1,2,2,856,21840,9453,98,267
0,1,1,22775,9040,977,595,262
2,2,1,8798,5385,6456,932,194
0,2,0,18624,7855,6488,85,16
0,2,2,25001,23375,9547,664,23
2,1,2,10670,2928,8084,1402,78
0,2,0,21636,11213,1328,620,284
2,2,2,21803,16332,6121,1227,47
1,0,0,20143,6597,3132,1329,5
1,0,0,22320,5148,519,1056,264
1,2,1,7501,5182,2366,660,213
0,1,1,17746,3917,7007,216,257
1,1,0,17189,19813,1145,982,239
0,2,2,16836,24243,6653,633,142
1,1,0,21499,15828,2075,300,179
0,2,1,20546,7861,6413,1013,174
0,0,0,11236,7738,2931,730,278
0,1,0,5740,3368,90,714,117
0,0,2,15314,9337,1037,511,40
2,2,2,1714,9296,342,956,80
2,0,1,8763,15236,9621,421,27
0,1,2,7720,8809,4947,436,149
0,2,2,3738,6437,5573,49,100
0,1,1,22554,25147,541,1289,210
2,2,2,23135,23479,97,974,262
0,0,1,10633,9180,9747,681,234
2,0,1,21072,16350,2050,487,7
2,0,0,15914,2038,636,301,211
2,0,1,14693,18500,9450,89,244
1,0,1,17668,28173,47,200,18
2,0,2,7551,1965,3493,60,190
0,1,0,2939,21081,7172,757,61
2,2,0,24879,2700,6062,570,35
1,1,1,9862,10595,7221,1336,217
1,0,0,18043,25993,2569,920,211
2,2,0,1989,20020,5046,308,258
0,2,0,5602,18492,1697,579,27
0,0,1,27921,28282,3655,785,202
0,0,0,16958,15640,4508,116,105
2,1,0,9403,27672,6321,1288,52
1,2,0,27930,27527,3648,1181,62
2,1,2,15533,11576,4646,1145,234
2,0,2,29248,20920,8000,382,281
0,1,0,27937,12079,1958,1154,269
0,2,1,27538,20263,5048,392,257
2,1,2,5014,18554,7869,625,252
1,2,0,6344,653,2882,1414,13
0,2,1,23688,11067,7416,553,252
0,2,0,11102,9872,7734,766,121
1,0,1,14854,3867,3641,319,287
0,0,2,1049,17236,7413,287,44
2,2,2,21007,18644,1119,581,141
0,2,2,16783,651,5921,734,187
2,1,0,6879,17940,6770,1253,137
2,2,2,6713,2162,5258,720,64
0,1,2,731,12201,145,312,35
0,0,0,27655,22703,1935,191,9
0,0,0,13648,719,3522,699,66
2,2,2,3709,16320,2608,149,303
0,2,0,8257,29005,4313,814,38
1,2,1,6980,2085,7470,1224,255
2,1,2,15361,20446,5055,258,246
1,1,1,11675,19700,313,71,238
2,0,2,15685,5252,6245,713,11
2,2,2,22950,20709,3904,519,183
2,0,1,15794,2754,7750,473,228
2,0,1,3468,16700,6293,1183,32
2,2,2,869,8987,9256,1044,150
2,1,2,10715,1456,6768,1160,15
2,2,1,23877,26371,4240,155,171
1,2,2,22113,383,78,712,265
1,0,2,17747,592,6358,1133,123
2,1,1,689,7799,9087,847,269
1,1,2,22831,26528,8631,830,215
2,1,2,9376,12709,2816,947,84
1,1,1,14374,18026,6400,570,17
2,0,2,2351,28317,593,457,160
0,0,2,15414,15785,9662,628,182
0,1,0,11963,4682,1531,1332,25
0,1,0,27371,7957,5430,1026,289
0,0,0,19747,26484,644,1259,145
0,1,0,16550,4462,6148,810,166
2,2,1,6976,24853,8564,1222,225
2,1,2,16697,18761,6516,1109,188
2,0,2,15386,26555,8949,501,206
0,2,2,4784,16187,5284,560,40
0,0,1,29360,9011,6366,524,292
0,0,1,28676,15488,563,1153,224
0,2,1,9041,8270,8458,906,18
1,2,0,8,2790,1126,1189,260
0,0,2,25641,15271,316,710,217
2,1,0,18833,1024,6226,513,220
1,1,1,26173,27525,6875,559,33
0,0,0,9859,4096,7856,1070,166
1,2,1,28836,129,9405,1224,170
1,2,1,18990,23317,2249,678,293
0,1,0,25993,14796,9816,904,64
0,0,1,14263,910,5018,93,47
1,2,0,20443,10037,6421,777,308
2,2,2,1167,2363,1331,441,34
0,1,1,21918,29563,4001,950,286
1,0,2,2701,28560,7106,418,134
1,2,1,13015,886,7072,978,246
0,2,1,6395,10762,2570,673,163
1,2,1,14839,10894,6899,617,274
1,0,0,8880,15110,563,955,185
2,2,1,13842,2704,8116,854,145
1,1,2,1942,2442,4630,1425,112
2,2,0,4624,14198,9582,1270,259
2,2,2,17771,2439,6416,1416,208
2,1,0,9666,10512,267,373,23
2,0,0,342,22859,2725,598,132
1,2,1,22275,726,4213,84,113
0,1,0,9705,19080,4026,259,20
2,0,1,8614,10448,8215,1261,262
1,1,0,27384,27728,2128,183,45
2,2,2,21375,23432,5342,1280,146
0,2,1,10897,2178,1617,352,69
