Protocol,Packet Type,Traffic Type,Malware Indicators,Alerts/Warnings,Attack Type,Attack Signature,Action Taken,Severity Level,Device Information,Firewall Logs,Log Source,Localidad,Region
0,1,1,1,0,0,0,0,0,67,1,1,140,1
1,0,2,0,1,1,0,0,2,64,0,0,249,8
2,0,1,1,1,1,1,2,2,0,1,1,83,18
2,1,1,1,1,2,1,0,0,90,1,0,192,25
2,0,2,1,1,0,1,2,2,131,1,1,132,21
1,1,2,1,0,0,0,2,0,0,0,1,262,1
2,0,2,0,1,2,0,2,0,157,1,1,118,13
2,0,0,0,0,0,1,1,1,0,0,1,313,12
1,0,2,0,0,0,0,0,1,0,0,0,256,11
2,0,2,1,1,0,1,0,1,0,1,1,169,0
1,1,0,1,0,2,1,1,0,0,0,1,83,1
2,1,0,1,0,2,0,2,1,0,1,0,127,12
0,0,2,0,0,1,0,0,2,0,0,0,206,10
1,1,1,0,1,0,0,1,1,34,1,1,73,2
0,1,1,1,1,2,0,2,0,0,1,1,202,10
1,1,1,1,0,0,1,1,2,0,0,1,286,22
2,0,1,0,0,1,1,1,1,0,0,1,124,16
2,1,0,1,0,0,0,2,0,0,1,1,267,27
2,0,0,1,0,2,1,2,1,0,0,0,45,16
0,0,2,0,0,0,1,1,1,161,0,0,2,5
0,0,2,0,1,2,0,0,1,0,0,1,253,14
1,1,0,0,0,1,1,1,2,0,0,0,127,9
0,0,0,0,0,0,1,2,0,0,1,0,239,5
0,1,1,0,1,0,0,2,0,0,1,0,176,9
0,0,2,1,0,0,0,0,1,0,1,1,238,2
1,0,2,0,0,2,1,1,2,0,0,0,296,14
1,1,2,0,1,1,1,1,2,0,1,0,50,10
0,0,2,1,0,0,1,1,2,0,0,1,73,15
1,1,0,1,1,2,1,0,2,0,1,0,110,14
1,0,1,1,0,1,0,1,2,0,0,0,142,24
1,0,1,0,0,2,1,0,0,0,1,0,220,16
2,0,2,1,0,2,0,0,2,0,1,0,237,23
1,0,1,1,1,0,0,2,0,0,0,1,59,23
1,0,1,0,0,1,1,0,2,0,1,1,170,6
2,0,0,0,1,0,0,1,1,106,0,1,79,15
0,1,2,0,1,2,0,0,2,0,0,0,179,14
0,0,1,0,0,0,0,2,2,0,0,1,59,18
2,1,0,0,0,1,0,2,2,0,1,0,178,20
0,1,1,0,1,2,0,1,1,0,0,1,96,11
0,1,2,0,1,1,1,2,2,0,0,1,159,5
0,1,0,0,1,2,1,2,2,0,0,1,305,5
0,0,1,0,0,0,0,2,1,0,0,0,204,21
1,0,0,1,0,2,1,2,2,0,1,1,298,22
1,1,2,0,0,0,0,0,2,131,1,0,142,24
0,0,1,0,0,0,0,0,0,0,0,1,315,2
0,0,0,0,1,1,1,0,1,0,0,1,234,4
2,0,0,0,0,0,0,2,2,0,0,0,73,14
0,1,2,0,1,2,0,2,0,19,1,1,273,4
0,0,2,0,1,0,1,1,2,0,1,1,303,0
0,1,2,0,1,0,0,0,2,0,1,0,118,11
1,0,1,0,1,2,1,1,2,0,0,0,177,1
2,0,0,1,0,2,0,1,2,0,0,0,242,4
0,0,0,1,1,2,1,2,2,0,0,1,222,6
2,0,2,0,1,0,0,2,1,0,1,0,188,19
2,1,0,0,0,1,0,2,0,0,1,1,214,17
1,1,0,0,0,2,0,2,0,160,1,0,17,15
0,0,2,0,0,0,0,1,2,0,1,1,239,3
1,1,0,1,0,1,0,2,2,0,1,0,33,11
2,1,0,1,1,0,1,2,0,0,1,1,314,6
2,0,2,1,1,1,1,1,0,0,1,0,8,1
2,0,1,0,0,2,0,1,0,0,1,1,315,1
1,1,0,0,0,2,1,1,2,48,0,0,118,6
2,1,1,0,0,2,0,2,0,42,1,0,86,16
0,1,0,0,1,1,0,1,0,0,1,0,30,5
2,0,1,1,0,0,0,2,2,49,0,1,269,22
1,1,0,0,0,1,0,0,2,0,0,1,63,27
1,1,0,1,0,1,1,0,1,41,0,1,76,6
0,0,0,1,1,0,0,1,0,54,1,1,229,10
1,0,0,0,1,1,0,2,2,0,0,0,254,19
1,0,1,1,0,1,0,2,2,22,0,1,50,4
1,0,1,0,1,1,0,1,0,0,0,1,225,9
2,1,2,1,0,2,1,0,0,0,1,0,182,5
0,1,1,0,0,0,0,2,0,0,0,1,25,5
2,1,1,1,1,0,1,0,1,0,1,0,277,2
2,0,2,0,0,2,0,2,0,0,0,0,175,0
2,0,1,1,1,0,0,0,1,0,0,1,175,20
2,1,0,1,0,1,0,2,2,0,1,1,6,27
1,0,1,0,1,0,1,1,2,0,0,0,202,14
1,0,2,1,0,0,0,2,0,0,0,1,95,23
1,1,2,1,0,2,0,0,0,0,1,0,154,13
0,0,0,1,0,2,1,1,2,0,0,0,282,1
2,0,1,1,0,0,0,2,0,147,0,0,194,2
2,1,2,1,0,2,0,2,2,110,1,0,135,4
1,1,0,0,1,2,0,0,2,0,0,0,155,24
0,0,1,0,1,2,0,0,0,0,0,1,14,22
0,0,2,0,0,2,0,1,2,0,0,0,266,3
0,0,1,1,0,2,0,2,2,0,1,0,265,21
0,1,1,1,0,0,0,1,0,178,1,0,127,23
2,0,2,0,1,1,0,2,1,0,0,1,47,9
0,1,2,1,0,0,0,2,1,0,0,1,56,1
0,1,1,1,1,1,1,0,2,0,1,0,160,22
2,0,2,0,1,1,1,1,1,39,1,1,258,9
0,0,0,1,1,0,1,0,2,0,1,0,74,18
1,0,0,1,0,1,0,2,0,0,0,0,210,2
1,0,0,0,0,1,1,1,2,0,1,0,43,26
0,1,0,1,1,2,1,2,1,0,1,1,308,8
0,1,1,1,1,0,1,2,0,144,0,0,73,13
2,0,2,0,1,1,0,1,1,0,1,1,20,13
1,0,2,1,1,0,1,0,2,150,0,0,251,16
0,1,0,0,1,1,0,1,1,3,0,1,202,7
0,0,1,1,0,0,0,0,0,0,1,0,127,20
1,0,1,1,1,2,1,1,2,0,1,0,198,24
1,1,0,0,1,0,0,2,1,0,1,0,77,2
2,1,0,0,0,1,1,0,0,0,1,1,170,20
1,1,2,1,1,0,0,1,0,0,0,1,277,5
1,1,2,1,0,0,1,2,0,69,0,1,50,21
2,0,1,1,1,0,1,0,1,0,0,1,73,6
0,0,1,1,0,2,0,1,0,0,1,0,87,2
1,0,1,0,0,2,0,2,0,0,1,1,68,21
1,1,2,0,0,0,0,1,2,0,1,0,28,13
2,1,0,0,0,1,1,2,0,81,1,0,82,15
0,0,0,1,0,2,0,0,1,0,0,0,2,9
0,1,0,0,1,0,0,2,0,0,1,0,128,2
0,0,2,0,0,1,1,0,1,0,0,1,125,6
0,0,1,0,0,2,1,0,2,0,0,1,171,12
1,0,1,1,1,0,0,1,0,0,1,1,108,22
0,0,2,0,0,1,1,2,1,0,0,1,212,4
0,0,1,1,0,0,1,0,1,0,0,0,145,25
2,0,2,0,0,0,1,0,2,0,1,1,110,1
1,1,1,1,0,2,0,2,1,0,0,0,165,9
1,0,1,1,1,2,0,1,1,0,0,1,43,20
2,1,2,1,1,0,0,0,0,0,1,1,121,0
0,0,1,0,1,2,1,2,0,0,0,0,184,2
0,0,1,1,1,2,0,1,0,45,1,1,315,6
0,0,1,0,1,1,0,2,0,0,0,0,270,13
2,0,1,0,0,2,0,2,2,0,1,1,263,14
0,1,1,1,1,2,0,1,1,0,0,1,16,9
2,0,0,0,1,2,0,0,1,0,0,0,247,12
0,0,0,0,0,2,0,0,0,0,0,0,251,12
2,1,1,1,1,0,0,1,0,0,1,1,73,16
1,1,1,1,1,2,1,1,2,5,1,0,44,21
0,0,1,1,0,2,1,1,1,0,0,1,23,7
0,1,2,1,0,1,0,0,2,0,1,0,117,5
0,1,1,1,1,0,1,1,2,0,0,1,248,9
2,1,2,0,0,1,0,2,2,0,1,0,239,5
1,0,1,0,0,2,0,0,2,0,0,1,69,10
1,0,0,1,1,0,0,0,0,0,0,0,296,19
1,0,2,0,0,2,0,2,0,0,0,1,179,5
0,0,1,0,1,0,1,2,1,0,0,0,158,10
2,1,0,0,0,2,0,2,2,0,1,0,145,11
0,1,2,1,0,1,0,1,2,0,0,1,289,2
0,0,0,1,0,0,1,0,2,0,0,0,178,20
0,1,1,1,1,0,1,1,0,0,1,1,122,4
2,1,0,1,0,1,0,0,2,0,0,0,89,19
1,0,0,1,1,0,0,1,2,0,1,1,57,21
1,1,1,1,1,0,1,1,1,0,1,0,65,17
2,1,2,1,0,1,1,0,0,31,0,1,183,17
2,0,0,1,0,2,0,1,0,0,1,1,65,5
0,0,1,1,0,2,0,1,1,0,0,0,186,0
2,0,1,1,1,2,1,0,1,24,0,0,299,4
1,1,2,0,0,1,1,2,0,0,1,0,15,17
1,1,0,0,0,2,0,2,1,0,0,0,77,16
1,1,2,0,1,0,1,2,0,108,0,1,85,17
1,0,0,0,1,1,1,0,0,0,0,0,308,11
2,1,1,0,1,2,0,1,2,0,1,1,132,5
0,0,1,1,0,1,0,1,0,0,1,1,172,3
0,0,2,0,1,0,0,0,2,0,1,1,192,1
1,1,2,0,1,0,1,2,2,0,0,0,61,6
1,0,1,0,0,0,0,1,2,0,1,0,16,27
2,0,2,0,0,2,1,2,2,0,1,1,121,27
1,1,1,0,1,1,1,2,2,0,1,1,174,23
0,0,0,0,1,0,0,2,0,0,0,0,154,25
1,0,2,0,0,2,0,0,1,47,0,1,131,8
2,0,0,0,0,0,1,2,1,31,0,1,175,25
1,1,0,0,0,0,1,0,1,0,1,0,208,15
1,1,2,0,0,1,0,0,1,0,0,0,81,12
0,0,1,1,0,1,1,2,1,0,1,0,162,0
2,0,1,1,0,1,1,2,1,100,0,1,55,26
1,0,0,1,0,1,1,2,1,0,0,0,55,6
0,0,1,0,1,0,0,0,1,0,0,1,184,0
0,0,2,0,1,0,1,0,0,0,0,0,294,19
1,1,1,0,1,0,1,0,1,0,0,0,145,24
0,1,2,0,1,1,1,2,0,170,1,1,13,1
2,1,0,1,1,1,0,1,2,0,0,1,89,6
0,1,2,1,1,0,1,0,1,0,0,1,246,2
2,1,2,1,1,2,0,0,1,0,1,1,277,17
1,1,0,0,1,1,1,0,2,0,1,1,286,23
1,0,1,1,0,0,1,0,1,145,0,0,237,9
0,0,2,1,0,1,0,1,2,0,1,1,165,18
0,0,1,1,0,0,0,2,0,0,1,1,124,13
2,1,2,1,1,1,1,1,2,61,0,1,289,27
2,1,2,0,1,0,1,2,2,0,1,1,85,27
2,0,1,0,0,1,0,2,2,0,1,1,108,2
2,1,2,0,1,0,0,1,1,0,1,0,31,26
1,1,1,0,1,2,1,1,2,0,0,1,43,23
0,0,2,1,1,0,0,0,2,0,1,1,143,3
1,0,1,1,0,2,1,0,0,132,1,1,179,12
0,1,2,0,0,0,0,1,2,0,0,0,294,22
0,1,1,0,1,2,1,1,2,0,0,0,233,6
0,0,0,0,0,1,1,1,1,0,0,1,198,26
1,0,2,1,1,2,1,1,2,0,1,0,249,9
0,1,2,1,0,0,0,0,2,0,0,0,72,17
1,1,0,0,1,2,0,1,1,0,1,1,100,24
0,1,1,1,0,2,0,2,2,0,0,0,18,21
0,1,2,1,1,2,1,1,2,0,1,1,141,13
2,0,1,1,0,2,0,1,0,0,0,0,294,5
1,0,1,1,0,2,1,0,1,0,0,1,125,25
2,1,0,0,1,1,1,1,2,0,1,1,24,12
1,0,0,1,0,0,0,1,2,141,1,1,185,8
2,0,2,1,1,2,1,0,1,0,0,0,112,7
0,0,0,1,0,1,0,1,0,0,0,1,313,27
0,0,2,0,0,0,1,0,0,100,0,0,271,12
1,0,1,0,0,2,1,1,2,3,1,0,11,21
2,0,2,1,1,2,1,0,2,0,0,0,282,22
0,0,0,0,0,1,1,0,2,0,0,0,75,24
0,1,2,1,1,1,1,0,1,151,0,0,105,26
1,1,2,1,0,1,0,2,1,0,1,0,265,23
2,1,1,0,1,0,0,1,1,0,1,1,185,18
2,0,2,1,0,2,0,2,1,170,0,1,157,1
1,1,1,0,0,0,1,0,0,0,0,1,309,1
2,0,1,1,1,2,1,0,2,0,1,1,216,25
1,1,0,1,0,0,1,2,0,0,0,0,63,27
0,1,2,0,0,0,1,0,0,0,1,1,73,23
1,0,1,0,1,1,0,0,0,0,0,1,86,10
2,1,1,0,1,0,1,1,1,0,0,0,40,18
2,0,0,0,0,0,0,2,0,9,0,0,312,18
0,0,1,0,0,2,1,0,2,0,1,0,14,13
1,0,1,1,1,0,0,1,1,0,0,0,102,13
0,0,0,1,1,2,0,0,1,152,1,1,125,10
2,0,2,1,0,2,0,0,0,0,1,0,159,9
1,0,1,1,1,0,0,1,1,0,0,1,64,17
2,0,0,1,1,0,0,0,1,0,0,1,132,7
1,1,2,0,0,1,0,0,2,0,0,1,83,10
1,1,1,0,0,2,0,1,0,27,1,0,296,15
1,0,2,0,0,2,1,0,2,0,0,1,143,1
1,0,1,1,0,1,1,0,1,0,1,1,195,21
0,1,2,1,0,0,1,0,1,0,1,0,34,7
0,0,1,1,0,1,0,2,1,0,0,1,245,24
2,0,2,0,0,0,1,0,2,0,0,1,140,7
2,1,1,0,0,1,0,2,1,0,0,0,214,22
0,0,0,1,0,0,0,1,1,42,1,0,142,27
1,0,2,0,0,2,0,0,1,0,0,0,110,6
0,1,2,0,0,1,0,1,0,0,1,1,264,7
1,0,2,1,0,2,1,1,0,0,1,0,277,3
0,0,0,0,1,0,0,0,0,0,0,1,311,9
1,0,1,1,0,2,1,2,2,0,0,0,10,16
2,0,0,1,0,1,0,1,0,136,0,1,146,21
2,0,2,0,1,0,1,1,1,0,0,1,157,26
1,0,2,1,1,0,0,2,0,66,1,0,284,19
2,1,0,1,0,0,0,1,0,106,0,1,205,25
1,0,2,0,1,2,1,2,1,0,1,1,128,2
2,0,2,1,0,0,1,0,1,0,1,0,295,4
0,1,0,1,1,2,1,2,1,0,0,1,55,15
0,1,1,0,1,1,0,2,0,0,0,0,107,24
1,0,1,1,0,1,0,2,2,0,0,0,263,15
1,0,0,1,1,2,1,0,0,0,0,1,19,14
1,1,0,1,1,2,0,1,1,0,1,1,40,13
1,1,0,0,1,1,0,2,1,40,1,1,188,26
0,1,0,0,0,2,0,2,1,0,1,0,134,6
2,1,2,0,0,2,1,2,0,146,0,0,259,3
0,1,0,1,1,0,0,0,2,70,0,1,22,15
1,1,1,1,0,2,0,1,2,0,0,1,298,2
0,1,2,0,1,0,1,1,0,0,1,0,50,1
0,1,0,1,1,0,0,2,0,0,1,0,263,17
1,0,1,0,0,0,1,0,1,0,1,0,82,8
0,1,0,0,1,2,0,2,0,0,1,0,106,16
2,1,2,1,1,0,0,2,1,0,0,0,80,12
2,0,2,0,1,0,0,2,0,0,1,0,68,15
0,0,1,0,0,2,1,1,2,130,1,0,273,4
0,1,2,0,0,2,0,2,0,0,0,0,90,2
1,1,0,0,1,2,1,1,1,0,0,1,45,23
1,0,2,1,0,1,0,0,2,0,0,0,64,18
0,1,2,0,0,1,0,1,2,0,0,0,310,15
2,1,1,1,1,0,1,0,1,0,1,1,143,6
2,1,1,0,1,2,0,0,2,0,1,0,127,13
1,0,0,0,1,1,1,2,0,0,0,1,133,5
0,1,0,1,1,0,0,2,0,94,0,0,293,2
0,1,0,1,1,1,1,0,2,0,0,0,99,15
1,1,0,0,1,2,0,1,2,0,0,1,168,7
2,0,1,0,1,0,1,2,2,0,0,1,115,14
0,0,1,0,0,1,0,1,1,0,1,1,240,16
0,0,2,0,1,2,0,2,0,0,0,0,250,22
0,1,0,0,0,2,1,2,0,71,1,0,274,26
0,0,1,1,0,0,0,1,0,0,0,0,50,4
1,1,2,1,0,1,0,1,1,0,0,1,255,10
0,1,2,0,0,0,0,2,1,113,1,1,151,2
1,0,2,0,0,1,1,2,0,0,0,1,29,1
2,0,0,0,1,0,0,0,2,0,0,1,42,7
1,1,1,0,1,2,0,2,0,0,0,1,44,3
1,0,2,1,1,0,0,0,2,0,0,1,3,5
1,1,2,1,0,1,0,0,2,0,0,1,100,15
1,1,2,1,1,0,1,0,0,0,1,1,51,7
0,0,0,1,0,0,0,1,0,0,0,0,272,19
2,0,0,0,0,2,0,0,0,0,1,0,269,22
2,0,0,0,1,2,1,2,2,0,1,0,110,11
0,1,0,0,0,2,0,2,0,0,1,1,205,24
2,1,2,0,0,1,0,2,2,0,1,1,135,0
2,1,1,0,1,1,1,0,1,0,0,1,143,22
0,0,2,1,0,1,1,2,2,0,1,0,148,7
1,0,1,1,0,2,1,2,1,0,0,1,127,15
1,1,0,0,1,0,0,0,2,0,1,0,139,4
2,1,1,0,0,0,1,1,1,0,0,1,50,7
2,1,2,0,1,1,1,1,1,88,1,1,199,20
2,0,2,0,0,1,1,0,1,89,0,1,47,18
1,1,0,1,1,2,1,0,0,0,0,0,304,2
0,1,1,1,1,1,0,1,2,101,1,0,252,22
2,1,0,0,0,2,1,0,1,31,0,1,284,20
1,1,2,1,0,2,1,0,2,0,1,0,229,10
1,0,1,0,0,2,0,0,2,173,0,0,61,22
0,1,0,1,1,1,0,0,0,0,1,0,151,3
1,0,0,1,0,2,1,0,1,0,0,0,160,26
2,0,1,1,1,2,0,0,0,6,1,0,215,26
2,1,2,0,0,1,1,1,1,57,0,1,119,15
2,0,1,1,1,2,0,1,0,0,1,1,192,27
0,0,1,1,1,0,0,0,0,0,1,1,123,15
2,0,2,0,0,2,1,1,0,113,1,1,0,4
2,1,0,0,0,0,0,1,2,0,1,1,102,12
1,0,2,1,0,1,1,2,2,167,1,0,272,8
0,0,0,0,0,2,1,2,2,0,0,0,213,5
0,0,2,0,1,0,1,1,0,0,0,1,186,14
0,0,2,1,0,0,1,1,2,0,0,1,304,7
2,0,1,1,0,1,1,2,1,0,1,0,191,1
2,1,1,1,0,2,1,1,0,0,1,1,194,6
0,0,2,1,0,2,0,1,0,0,0,0,245,1
2,1,1,1,1,1,0,0,1,178,1,0,109,6
0,1,0,1,0,2,1,2,2,83,1,1,149,5
2,0,2,0,0,1,0,1,2,0,1,1,122,26
0,0,0,1,0,0,0,0,1,0,1,1,120,19
2,0,0,1,1,1,0,0,2,0,0,1,131,23
1,0,1,1,0,2,1,1,2,0,0,1,92,0
2,1,1,1,0,2,0,1,2,0,0,1,121,17
0,0,0,0,0,2,0,1,1,0,0,0,227,7
1,1,2,1,0,1,0,0,2,0,0,0,75,25
0,0,2,1,1,0,1,2,1,174,0,1,144,15
0,1,1,0,1,2,1,2,1,0,1,1,88,18
1,0,1,0,0,2,1,0,1,0,0,1,305,18
0,1,0,1,1,2,1,0,0,0,0,1,282,9
2,1,0,1,0,1,0,1,1,0,1,0,147,12
1,1,1,0,0,2,1,1,2,0,0,0,284,11
0,0,0,1,1,1,1,1,2,0,0,0,123,23
1,1,2,0,0,0,1,1,1,0,1,1,292,21
2,0,1,1,0,2,1,1,0,0,1,1,305,3
0,1,0,1,1,0,1,1,0,0,0,0,108,16
1,1,2,1,0,2,1,2,2,101,1,1,206,2
1,0,2,0,0,1,1,0,2,0,0,1,140,17
1,1,2,0,1,0,0,0,1,0,1,0,85,23
1,1,0,0,0,0,0,2,1,0,1,1,260,4
1,1,2,0,0,0,1,1,1,0,1,0,207,1
0,0,0,0,1,1,0,1,0,138,1,1,284,12
1,0,1,0,1,1,0,1,1,0,0,1,39,26
0,0,1,1,1,0,0,2,0,0,1,1,285,22
2,1,2,1,1,1,1,2,1,0,0,0,292,10
0,1,2,1,1,0,0,0,2,0,0,0,171,17
0,0,2,0,1,0,1,0,1,0,0,1,131,7
2,0,1,0,0,1,0,2,1,0,0,1,252,15
0,1,2,0,1,0,0,2,0,0,1,0,208,6
2,0,2,1,0,2,0,1,0,109,0,1,66,23
2,1,0,0,0,0,1,1,0,9,1,0,279,3
0,0,0,1,1,2,0,1,2,0,1,0,193,22
1,1,2,0,1,0,1,2,2,122,0,1,124,14
2,1,2,1,1,2,0,2,1,0,0,1,84,13
0,1,0,0,0,0,0,1,1,0,0,1,140,20
1,0,2,0,0,0,0,0,2,0,1,0,159,17
1,0,1,0,1,0,0,2,1,0,0,0,21,15
0,1,1,0,1,0,0,1,0,0,1,0,179,4
1,1,0,1,0,2,1,1,1,0,0,0,138,10
0,1,0,0,1,2,1,2,0,3,1,1,263,14
1,1,2,1,0,1,0,2,0,0,0,1,9,25
0,1,2,0,0,2,0,2,0,0,1,1,265,3
2,0,2,1,0,0,1,1,2,0,0,1,155,8
1,0,2,0,0,2,1,2,0,0,1,0,133,14
1,0,1,0,1,1,0,0,2,95,0,1,97,7
0,1,1,1,1,1,0,2,1,36,1,1,107,12
0,1,2,0,1,1,1,2,2,156,1,0,32,0
2,0,0,1,1,1,0,0,2,0,1,1,157,25
0,1,1,0,0,2,1,2,2,0,1,0,255,19
1,0,0,1,1,1,1,1,1,0,1,0,252,5
2,0,0,1,1,1,0,2,1,0,0,0,4,24
0,1,1,1,1,1,0,1,1,0,1,0,273,4
2,0,1,0,1,2,1,1,0,110,0,1,70,17
2,1,0,0,0,1,1,2,2,73,1,1,52,1
2,1,0,1,0,1,1,1,1,0,0,1,294,11
2,1,0,0,1,0,1,0,0,0,1,0,301,19
2,0,2,1,1,2,1,0,1,0,1,1,180,3
0,1,1,0,0,1,1,2,1,166,0,1,173,22
0,1,2,0,0,0,1,0,0,0,0,0,257,18
0,0,0,0,0,1,0,2,1,168,1,1,75,5
2,0,2,0,1,2,0,1,1,0,0,0,159,20
0,1,0,1,0,0,0,1,1,0,1,1,217,12
2,0,0,1,0,1,1,0,1,0,0,0,220,22
1,0,2,1,0,1,0,0,2,0,1,0,118,4
0,0,2,0,1,1,1,2,0,0,1,1,246,12
2,1,2,0,1,0,0,2,0,0,1,0,100,19
1,0,0,1,0,2,0,1,2,0,1,0,205,25
0,1,1,1,0,0,0,1,0,0,1,1,74,4
0,1,1,0,0,2,1,2,1,0,1,1,190,17
0,1,2,0,1,1,0,0,2,0,1,0,3,27
1,0,2,1,0,0,0,0,0,53,1,1,51,4
1,0,2,1,1,1,1,2,2,0,1,1,303,23
1,1,1,1,0,0,0,2,1,0,0,1,291,9
0,1,1,0,1,2,0,2,0,0,0,0,130,0
0,1,2,1,0,2,0,0,2,0,1,0,109,14
1,1,0,0,1,0,1,1,2,0,0,1,187,12
1,1,1,1,1,0,1,1,1,0,1,1,157,0
1,1,2,0,1,2,0,0,0,101,1,0,276,3
1,0,0,1,1,0,1,2,2,0,0,1,231,19
0,1,0,1,1,1,1,1,1,0,0,0,267,14
1,0,2,0,1,1,0,1,2,110,0,1,205,25
0,1,2,0,0,0,1,0,1,0,1,1,8,16
1,1,2,0,1,0,1,1,0,170,1,1,202,14
1,1,1,1,1,2,0,0,2,0,0,0,9,5
0,0,0,0,1,1,1,2,0,0,1,0,23,24
1,1,1,1,1,1,0,1,0,73,1,0,271,1
2,1,0,0,1,2,0,1,2,28,0,1,200,20
2,0,2,1,0,1,1,1,0,0,1,0,238,14
1,1,1,0,1,2,0,1,2,0,1,1,31,16
2,1,1,0,1,2,0,2,2,0,0,1,275,13
0,0,2,0,1,1,1,1,1,0,0,0,129,20
1,1,2,1,0,2,1,1,1,0,0,0,60,11
1,1,1,1,1,2,1,0,0,0,0,1,286,10
2,0,2,1,0,1,0,2,0,0,0,0,277,15
2,0,2,0,0,1,1,2,1,0,0,1,43,9
0,0,0,0,1,0,0,0,0,0,1,1,139,10
0,1,2,1,0,2,0,1,0,0,1,1,196,12
